Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\aztec,8,1424,950,656,148,279,2,195,1042,160,936
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\aztec\decoder,2,559,393,276,70,109,2,57,277,40,234
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\aztec\detector,2,642,458,329,72,131,0,53,280,40,234
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\common,48,4461,2780,1838,427,607,28,1074,6627,463,2770
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\common\detector,6,731,454,325,82,95,1,182,1050,43,252
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\common\reedsolomon,8,791,515,360,91,111,6,165,1004,116,691
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\datamatrix,18,2322,1571,1078,222,295,50,456,3051,168,938
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\datamatrix\decoder,8,1252,887,649,150,131,41,234,1608,77,450
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\datamatrix\detector,6,681,435,283,53,108,7,138,948,52,260
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\multi,12,848,492,321,60,116,28,240,1686,94,612
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\multi\qrcode,6,467,265,182,32,63,21,139,1046,47,303
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\multi\qrcode\detector,4,371,217,156,29,49,18,105,828,31,198
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\oned,28,3698,2400,1679,338,460,95,838,5849,247,1556
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\pdf417,18,4576,3248,1712,414,407,37,921,6133,165,1052
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\pdf417\decoder,12,2749,1998,881,209,208,23,543,3422,116,730
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\pdf417\decoder\ec,6,835,551,375,98,103,3,181,964,55,339
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\pdf417\detector,4,1606,1117,734,183,171,11,318,2367,32,211
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\qrcode,32,4069,2719,1686,385,504,34,846,5508,317,1866
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\qrcode\decoder,12,1425,899,586,127,187,10,339,2158,119,696
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing\qrcode\detector,12,1603,1060,750,202,209,20,334,2309,119,708
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\tests,23,1678,983,650,54,253,11,442,2556,226,1333
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\tests\src,23,1678,983,650,54,253,11,442,2556,226,1333
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\tests\src\common,12,951,580,400,37,142,6,229,1325,114,666
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\tests\src\common\reedsolomon,2,193,128,84,6,27,1,38,217,19,111
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\tests\src\qrcode,10,696,394,244,16,108,5,194,1120,93,556
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\tests\src\qrcode\decoder,4,326,201,135,11,50,2,75,450,36,223
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone,63,2147,663,362,0,382,1,1102,5528,1071,5378
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\Barcodes,9,332,118,82,0,66,0,148,693,142,672
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\Barcodes\Classes,9,332,118,82,0,66,0,148,693,142,672
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ScanTest,2,43,18,11,0,11,0,14,28,14,28
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ScanTest\Classes,2,43,18,11,0,11,0,14,28,14,28
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ZXingWidget,52,1772,527,269,0,305,1,940,4807,915,4678
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ZXingWidget\Classes,52,1772,527,269,0,305,1,940,4807,915,4678
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ZXingWidget\Classes\actions,7,276,89,53,0,46,0,141,729,140,728
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ZXingWidget\Classes\parsedResults,10,380,118,76,0,62,0,200,1043,200,1043
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\iphone\ZXingWidget\Classes\resultParsers,20,604,107,27,0,108,0,389,2001,387,1996
