File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_color_mode_cleanup(LodePNGColorMode* info),2,2,2,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_color_mode_copy(LodePNGColorMode* dest, const LodePNGColorMode* source)",11,11,9,4,0,1,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_color_mode_equal(const LodePNGColorMode* a, const LodePNGColorMode* b)",17,17,13,11,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_palette_clear(LodePNGColorMode* info),3,3,3,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_palette_add(LodePNGColorMode* info, unsigned char r, unsigned char g, unsigned char b, unsigned char a)",18,15,13,3,0,2,3,53,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_get_bpp(const LodePNGColorMode* info),3,2,2,1,0,0,1,9,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_get_channels(const LodePNGColorMode* info),2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_is_greyscale_type(const LodePNGColorMode* info),2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_is_alpha_type(const LodePNGColorMode* info),2,2,2,1,0,1,0,3,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_is_palette_type(const LodePNGColorMode* info),2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_has_palette_alpha(const LodePNGColorMode* info),7,7,5,3,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_can_have_alpha(const LodePNGColorMode* info),4,4,2,3,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_get_raw_size(unsigned w, unsigned h, const LodePNGColorMode* color)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_get_raw_size_lct(unsigned w, unsigned h, LodePNGColorType colortype, unsigned bitdepth)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,LodePNGUnknownChunks_init(LodePNGInfo* info),4,4,4,2,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,LodePNGUnknownChunks_cleanup(LodePNGInfo* info),3,3,3,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"LodePNGUnknownChunks_copy(LodePNGInfo* dest, const LodePNGInfo* src)",18,15,11,4,3,1,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,LodePNGText_init(LodePNGInfo* info),4,4,4,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,LodePNGText_cleanup(LodePNGInfo* info),9,9,7,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"LodePNGText_copy(LodePNGInfo* dest, const LodePNGInfo* source)",10,10,8,2,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_clear_text(LodePNGInfo* info),2,2,2,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_add_text(LodePNGInfo* info, const char* key, const char* str)",21,17,15,3,4,1,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,LodePNGIText_init(LodePNGInfo* info),6,6,6,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,LodePNGIText_cleanup(LodePNGInfo* info),13,13,11,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"LodePNGIText_copy(LodePNGInfo* dest, const LodePNGInfo* source)",13,13,10,2,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_clear_itext(LodePNGInfo* info),2,2,2,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_add_itext(LodePNGInfo* info, const char* key, const char* langtag, const char* transkey, const char* str)",33,27,25,3,6,1,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_info_init(LodePNGInfo* info),17,14,12,0,3,1,0,1,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_info_cleanup(LodePNGInfo* info),8,7,5,0,1,1,0,1,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_info_copy(LodePNGInfo* dest, const LodePNGInfo* source)",14,12,10,1,2,1,0,1,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_info_swap(LodePNGInfo* a, LodePNGInfo* b)",4,4,4,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addColorBits(unsigned char* out, size_t index, unsigned bits, unsigned in)",7,6,6,1,0,1,1,32,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,color_tree_init(ColorTree* tree),4,4,4,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,color_tree_cleanup(ColorTree* tree),10,10,6,2,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"color_tree_get(ColorTree* tree, unsigned char r, unsigned char g, unsigned char b, unsigned char a)",9,9,7,3,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"color_tree_has(ColorTree* tree, unsigned char r, unsigned char g, unsigned char b, unsigned char a)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"color_tree_add(ColorTree* tree, unsigned char r, unsigned char g, unsigned char b, unsigned char a, int index)",13,13,9,2,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"rgba8ToPixel(unsigned char* out, size_t i, const LodePNGColorMode* mode, ColorTree* tree , unsigned char r, unsigned char g, unsigned char b, unsigned char a)",68,66,42,8,1,4,1,29,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"rgba16ToPixel(unsigned char* out, size_t i, const LodePNGColorMode* mode, unsigned short r, unsigned short g, unsigned short b, unsigned short a)",38,37,29,3,1,4,0,22,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"getPixelColorRGBA8(unsigned char* r, unsigned char* g, unsigned char* b, unsigned char* a, const unsigned char* in, size_t i, const LodePNGColorMode* mode, unsigned fix_png)",101,98,62,16,2,3,1,27,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"getPixelColorsRGBA8(unsigned char* buffer, size_t numpixels, unsigned has_alpha, const unsigned char* in, const LodePNGColorMode* mode, unsigned fix_png)",129,126,70,34,2,3,1,27,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"getPixelColorRGBA16(unsigned short* r, unsigned short* g, unsigned short* b, unsigned short* a, const unsigned char* in, size_t i, const LodePNGColorMode* mode)",34,32,22,7,2,3,0,18,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_convert(unsigned char* out, const unsigned char* in, LodePNGColorMode* mode_out, LodePNGColorMode* mode_in, unsigned w, unsigned h, unsigned fix_png)",62,57,37,15,5,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"color_profile_init(ColorProfile* profile, LodePNGColorMode* mode)",24,20,18,1,4,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,color_profile_cleanup(ColorProfile* profile),3,3,3,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,getValueRequiredBits(unsigned short value),5,4,4,3,0,0,1,13,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"get_color_profile(ColorProfile* profile, const unsigned char* in, size_t numpixels, LodePNGColorMode* mode, unsigned fix_png)",185,160,99,42,17,9,8,142,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"doAutoChooseColor(LodePNGColorMode* mode_out, const unsigned char* image, unsigned w, unsigned h, LodePNGColorMode* mode_in, LodePNGAutoConvert auto_convert)",130,117,73,19,9,6,4,85,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"paethPredictor(short a, short b, short c)",8,7,7,1,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"Adam7_getpassvalues(unsigned passw[7], unsigned passh[7], size_t filter_passstart[8], size_t padded_passstart[8], size_t passstart[8], unsigned w, unsigned h, unsigned bpp)",24,17,12,4,2,0,5,61,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_inspect(unsigned* w, unsigned* h, LodePNGState* state, const unsigned char* in, size_t insize)",53,42,29,11,6,5,5,94,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"unfilterScanline(unsigned char* recon, const unsigned char* scanline, const unsigned char* precon, size_t bytewidth, unsigned char filterType, size_t length)",70,60,33,23,1,2,9,95,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"unfilter(unsigned char* out, const unsigned char* in, unsigned w, unsigned h, unsigned bpp)",28,14,12,2,6,1,8,104,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"Adam7_deinterlace(unsigned char* out, const unsigned char* in, unsigned w, unsigned h, unsigned bpp)",47,44,26,9,2,2,1,37,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"removePaddingBits(unsigned char* out, const unsigned char* in, size_t olinebits, size_t ilinebits, unsigned h)",23,14,10,2,0,1,9,121,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"postProcessScanlines(unsigned char* out, unsigned char* in, unsigned w, unsigned h, const LodePNGInfo* info_png)",46,29,18,6,5,2,12,132,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_PLTE(LodePNGColorMode* color, const unsigned char* data, size_t chunkLength)",21,19,15,6,2,7,0,12,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_tRNS(LodePNGColorMode* color, const unsigned char* data, size_t chunkLength)",30,23,17,6,4,2,3,41,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_bKGD(LodePNGInfo* info, const unsigned char* data, size_t chunkLength)",30,23,16,5,4,1,3,33,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_tEXt(LodePNGInfo* info, const unsigned char* data, size_t chunkLength)",39,26,24,9,11,5,2,47,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_zTXt(LodePNGInfo* info, const LodePNGDecompressSettings* zlibsettings, const unsigned char* data, size_t chunkLength)",44,31,27,11,12,6,1,45,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_iTXt(LodePNGInfo* info, const LodePNGDecompressSettings* zlibsettings, const unsigned char* data, size_t chunkLength)",89,58,50,21,21,9,10,128,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_tIME(LodePNGInfo* info, const unsigned char* data, size_t chunkLength)",12,10,10,2,2,2,0,6,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"readChunk_pHYs(LodePNGInfo* info, const unsigned char* data, size_t chunkLength)",9,7,7,2,2,2,0,6,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"decodeGeneric(unsigned char** out, unsigned* w, unsigned* h, LodePNGState* state, const unsigned char* in, size_t insize)",172,137,80,31,17,17,18,226,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode(unsigned char** out, unsigned* w, unsigned* h, LodePNGState* state, const unsigned char* in, size_t insize)",39,31,20,9,2,2,6,77,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode_memory(unsigned char** out, unsigned* w, unsigned* h, const unsigned char* in, size_t insize, LodePNGColorType colortype, unsigned bitdepth)",9,9,9,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode32(unsigned char** out, unsigned* w, unsigned* h, const unsigned char* in, size_t insize)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode24(unsigned char** out, unsigned* w, unsigned* h, const unsigned char* in, size_t insize)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode_file(unsigned char** out, unsigned* w, unsigned* h, const char* filename, LodePNGColorType colortype, unsigned bitdepth)",8,8,8,2,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode32_file(unsigned char** out, unsigned* w, unsigned* h, const char* filename)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_decode24_file(unsigned char** out, unsigned* w, unsigned* h, const char* filename)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_decoder_settings_init(LodePNGDecoderSettings* settings),9,9,7,0,0,1,0,1,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_state_init(LodePNGState* state),10,10,6,0,0,2,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,lodepng_state_cleanup(LodePNGState* state),3,3,3,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_state_copy(LodePNGState* dest, const LodePNGState* source)",7,7,7,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk(ucvector* out, const char* chunkName, const unsigned char* data, size_t length)",4,4,4,1,0,1,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,writeSignature(ucvector* out),10,9,9,0,0,0,1,8,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_IHDR(ucvector* out, unsigned w, unsigned h, LodePNGColorType colortype, unsigned bitdepth, unsigned interlace_method)",17,14,14,1,3,7,0,12,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_PLTE(ucvector* out, const LodePNGColorMode* info)",14,12,10,3,1,0,1,6,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_tRNS(ucvector* out, const LodePNGColorMode* info)",42,38,26,7,2,0,2,21,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_IDAT(ucvector* out, const unsigned char* data, size_t datasize, LodePNGCompressSettings* zlibsettings)",11,8,8,2,2,0,1,5,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,addChunk_IEND(ucvector* out),4,4,4,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_tEXt(ucvector* out, const char* keyword, const char* textstring)",13,12,12,4,1,2,0,7,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_zTXt(ucvector* out, const char* keyword, const char* textstring, LodePNGCompressSettings* zlibsettings)",23,20,17,5,3,3,0,10,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_iTXt(ucvector* out, unsigned compressed, const char* keyword, const char* langtag, const char* transkey, const char* textstring, LodePNGCompressSettings* zlibsettings)",37,33,26,10,4,7,0,19,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_bKGD(ucvector* out, const LodePNGInfo* info)",27,25,19,2,2,1,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_tIME(ucvector* out, const LodePNGTime* time)",14,14,14,2,0,1,0,2,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addChunk_pHYs(ucvector* out, const LodePNGInfo* info)",13,10,10,1,3,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"filterScanline(unsigned char* out, const unsigned char* scanline, const unsigned char* prevline, size_t length, size_t bytewidth, unsigned char filterType)",60,58,33,25,0,6,2,25,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,flog2(float f),5,5,5,3,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"filter(unsigned char* out, const unsigned char* in, unsigned w, unsigned h, const LodePNGColorMode* info, const LodePNGEncoderSettings* settings)",216,156,107,33,18,17,42,585,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addPaddingBits(unsigned char* out, const unsigned char* in, size_t olinebits, size_t ilinebits, unsigned h)",18,14,10,3,0,1,4,39,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"Adam7_interlace(unsigned char* out, const unsigned char* in, unsigned w, unsigned h, unsigned bpp)",46,44,26,9,2,2,0,23,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"preProcessScanlines(unsigned char** out, size_t* outsize, const unsigned char* in, unsigned w, unsigned h, const LodePNGInfo* info_png, const LodePNGEncoderSettings* settings)",82,65,42,14,10,8,7,111,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"getPaletteTranslucency(const unsigned char* palette, size_t palettesize)",16,15,11,3,0,2,1,35,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"addUnknownChunks(ucvector* out, unsigned char* data, size_t datasize)",9,9,7,2,0,1,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_encode(unsigned char** out, size_t* outsize, const unsigned char* image, unsigned w, unsigned h, LodePNGState* state)",188,157,94,47,14,20,17,171,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_encode_memory(unsigned char** out, size_t* outsize, const unsigned char* image, unsigned w, unsigned h, LodePNGColorType colortype, unsigned bitdepth)",12,12,12,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_encode32(unsigned char** out, size_t* outsize, const unsigned char* image, unsigned w, unsigned h)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_encode24(unsigned char** out, size_t* outsize, const unsigned char* image, unsigned w, unsigned h)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src\lodepng.cpp,"lodepng_encode_file(const char* filename, const unsigned char* image, unsigned w, unsigned h, LodePNGColorType colortype, unsigned bitdepth)",7,7,7,2,0,0,0,0,
