File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::add_before_then_move( ,33,32,19,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::add_before_stay_put( ,34,33,20,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::add_list_after(ELIST *list_to_add),39,38,25,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::add_list_before(ELIST *list_to_add),36,35,22,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::extract(),33,27,19,6,3,3,3,31,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::move_to_first(),12,11,7,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::mark_cycle_pt(),13,12,6,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::at_first(),12,10,4,3,1,2,1,10,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::at_last(),12,10,4,3,1,2,1,10,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::cycled_list(),10,8,4,3,2,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::length(),9,8,4,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::sort( ,10,9,5,2,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst.h,ELIST_ITERATOR::add_to_end( ,27,26,15,6,1,1,0,3,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::set_to_list( ,17,16,11,2,1,1,0,3,
